Title,Channel,Views,Likes,Comments,Hashtags_Count,Caption_Length,Posting_Hour,Video_Link,Title_Clean,Like_Rate,Comment_Rate,Engagement_Score
"Rama | Namit Malhotra’s Ramayana | Nitesh Tiwari | Ranbir, Yash, Hans Zimmer & A.R. Rahman",Sony Music India,4087432,147091,11620,10,1379,9,https://www.youtube.com/watch?v=1pnKd6YHmV4,"Rama Namit Malhotras Ramayana Nitesh Tiwari Ranbir, Yash, Hans Zimmer A.R. Rahman",3.598616441814812,0.28428607497323505,4.167188591761282
Namit Malhotra’s Ramayana Rama Trailer • Reaction,thePJ,707600,42137,3825,3,1098,4,https://www.youtube.com/watch?v=QqdrrWqrA0M,Namit Malhotras Ramayana Rama Trailer Reaction,5.954918032786885,0.5405596382136801,7.036037309214246
LEVEL 1 VS LEVEL 100 MINECRAFT CANNON,Ujjwal,1020256,67499,5818,0,530,9,https://www.youtube.com/watch?v=5bdsq08pG-E,LEVEL 1 VS LEVEL 100 MINECRAFT CANNON,6.6158885613022616,0.5702490355361791,7.756386632374619
BTS (방탄소년단) '2.0' Official MV,HYBE LABELS,17495380,2840568,197542,4,3687,15,https://www.youtube.com/watch?v=_gyultVTesk,BTS '2.0' Official MV,16.236103474174325,1.129109513482988,18.4943225011403
Ramayana Rama Teaser Breakdown,FlickVerse,646280,40042,4717,0,1421,8,https://www.youtube.com/watch?v=BYu8XcBr3_4,Ramayana Rama Teaser Breakdown,6.195766540818221,0.729869406449217,7.655505353716656
Minecraft But Item Have Babies !,Carry Depie,575600,10505,742,2,76,12,https://www.youtube.com/watch?v=kbZ-QB7_Ff4,Minecraft But Item Have Babies !,1.8250521195274496,0.12890896455872133,2.0828700486448923
"DIDI (SHER-E-BALOCH) (Full Video) | Dhurandhar The Revenge | Ranveer Singh | Shashwat Sachdev,Khaled",T-Series,2596032,57893,2062,3,1266,6,https://www.youtube.com/watch?v=hnEGQH4LP2c,"DIDI SHER-E-BALOCH Full Video Dhurandhar The Revenge Ranveer Singh Shashwat Sachdev,Khaled",2.2300572566131693,0.0794289130488376,2.3889150827108447
Namit Malhotra’s Ramayana Rama Trailer Review,PJ Explained,510641,29590,2856,3,1435,8,https://www.youtube.com/watch?v=CL2CPTXTmeQ,Namit Malhotras Ramayana Rama Trailer Review,5.794677669830664,0.5592970403864946,6.913271750603653
RANK PUSH TO #1 | CONQUEROR RANK PUSH OR WHAT | BGMI LIVE,LoLzZz Gaming,364308,21227,23,0,758,22,https://www.youtube.com/watch?v=hbPB0Xh3R9M,RANK PUSH TO #1 CONQUEROR RANK PUSH OR WHAT BGMI LIVE,5.826663153156121,0.00631333926238238,5.839289831680885
#Video | कमर में दागी | #Khesari Lal Yadav & Shilpi Raj | Kamar Me Dagi | Sona Dey | #Bhojpuri Song,Aaradhya Films,4942004,219602,23953,11,1170,2,https://www.youtube.com/watch?v=JUhcNNwha7w,#Video कमर म दग #Khesari Lal Yadav Shilpi Raj Kamar Me Dagi Sona Dey #Bhojpuri Song,4.443581996291384,0.48468192255611287,5.41294584140361
